id,x,y,time_s
14,482957.636487192,3005325.69440799,1491955200
14,482958.373330482,3005330.41993647,1491955500
14,482959.125023531,3005335.22832672,1491955800
14,482959.876551708,3005340.04583502,1491956100
14,482960.627974387,3005344.87284197,1491956400
14,482961.379350934,3005349.70972894,1491956700
14,482962.13390555,3005354.48646348,1491957000
14,482963.046800705,3005355.7525327,1491957300
14,482963.963005666,3005356.9589269,1491957600
14,482964.879427982,3005358.17615598,1491957900
14,482965.796140054,3005359.40431612,1491958200
14,482966.713214308,3005360.64350434,1491958500
14,482967.592599617,3005361.85575752,1491958800
14,482966.565998766,3005361.17587057,1491959100
14,482965.501697339,3005360.46909064,1491959400
14,482964.437734832,3005359.77342292,1491959700
14,482963.374027185,3005359.08881244,1491960000
14,482962.31049036,3005358.41520512,1491960300
14,482961.484372058,3005357.62192948,1491960600
14,482972.526799469,3005350.30756201,1491960900
14,482983.807452547,3005342.87288567,1491961200
14,482995.089890797,3005335.44793134,1491961500
14,483006.375005594,3005328.03211242,1491961800
14,483017.663688522,3005320.624843,1491962100
14,483028.451630286,3005313.41365509,1491962400
14,483013.980701134,3005315.61725849,1491962700
14,482999.008739843,3005318.01654777,1491963000
14,482984.039764708,3005320.42359527,1491963300
14,482969.072593099,3005322.83859117,1491963600
14,482954.10604253,3005325.26172626,1491963900
14,482939.480576675,3005327.74626601,1491964200
14,482941.93848922,3005332.89346688,1491964500
14,482944.736525177,3005338.10267534,1491964800
14,482947.533259491,3005343.32122895,1491965100
14,482950.328913122,3005348.54953999,1491965400
14,482953.12370694,3005353.78802152,1491965700
14,482955.869153859,3005358.92554795,1491966000
14,482956.178386522,3005358.49618048,1491966300
14,482956.438513623,3005357.96622986,1491966600
14,482956.698263603,3005357.44719372,1491966900
14,482956.957656983,3005356.93903104,1491967200
14,482957.216714257,3005356.44170166,1491967500
14,482957.677733354,3005355.7774162,1491967800
14,482968.253997962,3005346.23491512,1491968100
14,482979.033096398,3005336.52465156,1491968400
14,482989.813602807,3005326.82360847,1491968700
14,483000.596368907,3005317.13101941,1491969000
14,483011.382246595,3005307.44611861,1491969300
14,483021.991191097,3005297.91574447,1491969600
14,483023.55861459,3005295.77292317,1491969900
14,483024.950066897,3005293.78370628,1491970200
14,483026.346554865,3005291.80033309,1491970500
14,483027.748188825,3005289.8226469,1491970800
14,483029.155079513,3005287.85049147,1491971100
14,483030.563791176,3005285.89739657,1491971400
14,483031.800607768,3005284.63391349,1491971700
14,483033.039454346,3005283.38923682,1491972000
14,483034.283975691,3005282.14958263,1491972300
14,483035.534270127,3005280.91485299,1491972600
14,483036.790436434,3005279.68495033,1491972900
14,483037.983655438,3005278.51049509,1491973200
14,483035.736456175,3005279.87697036,1491973500
14,483033.426226339,3005281.29890822,1491973800
14,483031.121701826,3005282.72570341,1491974100
14,483028.822700568,3005284.15746866,1491974400
14,483026.529040931,3005285.59431708,1491974700
14,483024.294442509,3005287.01358073,1491975000
14,483024.760308377,3005287.29889373,1491975300
14,483025.285095721,3005287.56675663,1491975600
14,483025.814945195,3005287.83997206,1491975900
14,483026.349898661,3005288.1185616,1491976200
14,483026.889998384,3005288.40254727,1491976500
14,483027.427188194,3005288.67073843,1491976800
14,483027.564601298,3005287.88354295,1491977100
14,483027.699157787,3005287.08051196,1491977400
14,483027.838967132,3005286.28279508,1491977700
14,483027.984040376,3005285.49032929,1491978000
14,483028.134388983,3005284.70305198,1491978300
14,483028.252791907,3005283.87360023,1491978600
14,483026.514541237,3005280.68378684,1491978900
