id,x,y,time_s
12,481663.505748534,3005435.52953465,1491955200
12,481666.330451046,3005432.8724702,1491955500
12,481668.339689833,3005430.99803462,1491955800
12,481669.606268392,3005429.83830893,1491956100
12,481670.176080397,3005429.3512712,1491956400
12,481670.069772627,3005429.51927392,1491956700
12,481669.283493085,3005430.34840456,1491957000
12,481671.710712294,3005428.96330222,1491957300
12,481673.517418144,3005428.21918252,1491957600
12,481674.76907548,3005428.08908276,1491957900
12,481675.511037313,3005428.56828885,1491958200
12,481675.770188162,3005429.67416453,1491958500
12,481675.555918195,3005431.44678049,1491958800
12,481676.76228123,3005431.88540019,1491959100
12,481677.531171314,3005433.0708829,1491959400
12,481677.890448693,3005435.04618384,1491959700
12,481677.853131555,3005437.8828768,1491960000
12,481677.417867737,3005441.68374755,1491960300
12,481676.568885731,3005446.58651824,1491960600
12,481664.217705876,3005425.31239826,1491960900
12,481650.97450831,3005404.54697273,1491961200
12,481636.35943414,3005383.53781958,1491961500
12,481619.84291539,3005361.52368541,1491961800
12,481600.826486442,3005337.706902,1491962100
12,481578.621099013,3005311.22448324,1491962400
12,481600.998419628,3005332.62815113,1491962700
12,481620.193011651,3005351.18215835,1491963000
12,481636.900378994,3005367.55879762,1491963300
12,481651.725902552,3005382.35146612,1491963600
12,481665.2067758,3005396.09616684,1491963900
12,481677.831469661,3005409.29093033,1491964200
12,481679.839489497,3005407.81526898,1491964500
12,481681.521537077,3005406.21430465,1491964800
12,481682.938560333,3005404.43002741,1491965100
12,481684.141904207,3005402.39778512,1491965400
12,481685.175171104,3005400.04394074,1491965700
12,481686.075800797,3005397.28320422,1491966000
12,481687.913823989,3005396.46972397,1491966300
12,481689.718443334,3005395.1198421,1491966600
12,481691.555048071,3005393.18464648,1491966900
12,481693.490186414,3005390.59401653,1491967200
12,481695.593976877,3005387.2540824,1491967500
12,481697.942648978,3005383.0438237,1491967800
12,481692.765218386,3005390.09841023,1491968100
12,481687.730171155,3005396.38573461,1491968400
12,481682.655065532,3005402.13361405,1491968700
12,481677.356008271,3005407.55031935,1491969000
12,481671.640991384,3005412.83212139,1491969300
12,481665.302934844,3005418.17040293,1491969600
12,481670.03023821,3005418.31571129,1491969900
12,481674.076137301,3005418.71619356,1491970200
12,481677.587232713,3005419.38636097,1491970500
12,481680.690746769,3005420.35049661,1491970800
12,481683.499133339,3005421.64353533,1491971100
12,481686.114152535,3005423.31232956,1491971400
