id,x,y,time_s
18,483292.778605668,3006160.75363465,1487808000
18,483296.815551833,3006159.46451199,1487808300
18,483300.632328875,3006156.6357379,1487808600
18,483304.278613017,3006153.26501352,1487808900
18,483307.733967941,3006150.14091556,1487809200
18,483310.900189252,3006148.13765335,1487809500
18,483313.564582975,3006148.54183111,1487809800
18,483315.458832215,3006152.54211455,1487810100
18,483316.583862438,3006158.6279882,1487810400
18,483316.785013549,3006165.07068162,1487810700
18,483315.555849459,3006170.26821798,1487811000
18,483311.848869824,3006172.14662323,1487811300
18,483303.683998439,3006167.38472581,1487811600
18,483289.062708603,3006152.73259732,1487811900
18,483270.303529773,3006131.66172644,1487812200
18,483249.826253655,3006107.79774769,1487812500
18,483229.402264349,3006083.71588831,1487812800
18,483210.816713577,3006061.90360672,1487813100
18,483196.535841497,3006045.69042716,1487813400
18,483188.900684401,3006038.25053955,1487813700
18,483185.692382801,3006036.90092324,1487814000
18,483184.612641872,3006038.98691589,1487814300
18,483184.152898318,3006043.13196154,1487814600
18,483183.030479569,3006048.72309437,1487814900
18,483179.709189769,3006055.68181498,1487815200
18,483172.794234259,3006064.12018307,1487815500
18,483163.488422183,3006073.4162513,1487815800
18,483153.064254949,3006082.9479815,1487816100
18,483142.37049155,3006092.17524637,1487816400
18,483132.149432819,3006100.43790471,1487816700
18,483123.314416792,3006106.70902123,1487817000
18,483116.720486352,3006109.97487751,1487817300
18,483111.730392982,3006111.203053,1487817600
18,483107.730069325,3006111.35705401,1487817900
18,483104.469889682,3006110.99255058,1487818200
18,483101.971387898,3006110.46506491,1487818500
18,483100.535321292,3006110.06285432,1487818800
18,483100.500652194,3006109.99177098,1487819100
18,483101.285305181,3006110.0746498,1487819400
18,483102.254549978,3006110.06264493,1487819700
18,483102.837201094,3006109.66510271,1487820000
18,483102.312124972,3006108.44092603,1487820300
18,483099.538703848,3006105.63371016,1487820600
18,483093.407879703,3006100.49755488,1487820900
18,483085.123313367,3006093.88795606,1487821200
18,483075.955626466,3006086.71191435,1487821500
18,483066.839989684,3006079.65844732,1487821800
18,483058.725698639,3006073.45615281,1487822100
18,483052.931028897,3006069.14556554,1487822400
18,483050.718171728,3006067.72672852,1487822700
18,483050.945029597,3006068.25515025,1487823000
18,483052.458345074,3006069.76663774,1487823300
18,483054.580480002,3006071.6582854,1487823600
18,483056.856131966,3006073.46312391,1487823900
18,483058.882148866,3006074.67557519,1487824200
18,483060.349011143,3006074.86602777,1487824500
18,483061.515591757,3006074.45290801,1487824800
18,483062.715449897,3006073.9264217,1487825100
18,483064.289321239,3006073.7282265,1487825400
18,483066.712466847,3006074.41650995,1487825700
18,483070.772300991,3006076.87462051,1487826000
18,483077.231218073,3006081.96196974,1487826300
18,483085.171360625,3006088.74823704,1487826600
18,483093.59169531,3006096.25262611,1487826900
18,483101.665294144,3006103.75650513,1487827200
18,483108.43021931,3006110.53477306,1487827500
18,483112.429947865,3006115.58480794,1487827800
18,483112.25874355,3006117.94780137,1487828100
18,483109.384599967,3006118.4891443,1487828400
18,483105.349548881,3006118.08309025,1487828700
18,483101.256230142,3006117.24340692,1487829000
18,483098.180037229,3006116.31540572,1487829300
18,483097.571079368,3006115.60501054,1487829600
18,483100.787926368,3006115.35568223,1487829900
18,483106.507522728,3006115.41719038,1487830200
18,483113.328535187,3006115.6116922,1487830500
18,483120.25582611,3006115.80468416,1487830800
18,483126.328475209,3006115.85472854,1487831100
18,483130.260589973,3006115.56058828,1487831400
18,483130.833475744,3006114.73376192,1487831700
18,483129.121822526,3006113.58198832,1487832000
18,483126.213673261,3006112.33293743,1487832300
18,483122.744284243,3006111.17156023,1487832600
18,483119.133574448,3006110.30922253,1487832900
18,483115.742078842,3006110.06109021,1487833200
18,483112.786643345,3006110.61348951,1487833500
18,483110.145506377,3006111.65207963,1487833800
18,483107.743308551,3006112.9330095,1487834100
18,483105.58850655,3006114.29665463,1487834400
18,483103.776545258,3006115.60794925,1487834700
18,483102.525541722,3006116.70589723,1487835000
18,483102.068144568,3006117.44232661,1487835300
18,483102.155729762,3006117.93047855,1487835600
18,483102.548241874,3006118.28335388,1487835900
18,483103.114143035,3006118.55701119,1487836200
18,483103.781247021,3006118.77151782,1487836500
18,483104.509736023,3006118.91844904,1487836800
18,483105.272714172,3006118.9770672,1487837100
18,483106.032138255,3006118.96595813,1487837400
18,483106.738608115,3006118.89058955,1487837700
18,483107.317459974,3006118.72602564,1487838000
18,483107.640856507,3006118.40760734,1487838300
18,483107.480003187,3006117.80678589,1487838600
18,483106.60710451,3006116.79662748,1487838900
18,483105.286227761,3006115.55325169,1487839200
18,483103.796001185,3006114.27278444,1487839500
18,483102.346288494,3006113.13111867,1487839800
18,483101.156635286,3006112.34966272,1487840100
18,483100.538334003,3006112.27810003,1487840400
18,483100.782910389,3006113.25822244,1487840700
18,483101.570967531,3006114.93173155,1487841000
18,483102.552926351,3006116.92626354,1487841300
18,483103.4462309,3006118.98307453,1487841600
18,483103.929734632,3006120.86032227,1487841900
18,483103.523663339,3006122.24266456,1487842200
18,483101.774006471,3006122.83496029,1487842500
18,483099.200332284,3006122.90200272,1487842800
18,483096.372485935,3006122.71743398,1487843100
18,483093.759873237,3006122.4544489,1487843400
18,483091.906920751,3006122.25052984,1487843700
18,483091.636574872,3006122.25883377,1487844000
18,483093.7378859,3006122.60823181,1487844300
18,483097.355958855,3006123.15281426,1487844600
18,483101.577383695,3006123.71601548,1487844900
18,483105.708830913,3006124.12182346,1487845200
18,483109.017890388,3006124.1289903,1487845500
18,483110.459303736,3006123.34086063,1487845800
18,483109.032131449,3006121.37033667,1487846100
18,483105.703416056,3006118.65755927,1487846400
18,483101.471849439,3006115.67206542,1487846700
18,483096.993200936,3006112.77507644,1487847000
18,483092.825439923,3006110.35452343,1487847300
18,483089.637305511,3006108.97005538,1487847600
18,483088.043099818,3006109.16095109,1487847900
18,483087.556688628,3006110.41478014,1487848200
18,483087.685427761,3006112.20878251,1487848500
18,483088.161209586,3006114.21574988,1487848800
18,483088.840253572,3006116.18171867,1487849100
18,483089.649364133,3006117.83103826,1487849400
18,483090.556953113,3006118.91939221,1487849700
18,483091.556262917,3006119.62195939,1487850000
18,483092.667803046,3006120.1193988,1487850300
18,483093.948627569,3006120.50931145,1487850600
18,483095.513654605,3006120.84271769,1487850900
18,483097.578612486,3006121.14312487,1487851200
18,483100.353014835,3006121.41883295,1487851500
18,483103.541913559,3006121.6768532,1487851800
18,483106.812190754,3006121.91470955,1487852100
18,483109.855685291,3006122.11599096,1487852400
18,483112.27399802,3006122.24421644,1487852700
18,483113.429570364,3006122.2291989,1487853000
18,483112.695653824,3006121.9989322,1487853300
18,483110.722265694,3006121.63125341,1487853600
18,483108.178928386,3006121.20436117,1487853900
18,483105.51664474,3006120.76792403,1487854200
18,483103.136478416,3006120.36164682,1487854500
18,483101.539469387,3006120.0301129,1487854800
18,483101.188551236,3006119.8144766,1487855100
18,483101.681913801,3006119.69111758,1487855400
18,483102.602495412,3006119.63954262,1487855700
18,483103.68746252,3006119.65969968,1487856000
18,483104.729967772,3006119.77195871,1487856300
18,483105.501832909,3006120.02472506,1487856600
18,483105.801870531,3006120.46839354,1487856900
18,483105.791201017,3006121.03857137,1487857200
18,483105.642954962,3006121.66761996,1487857500
18,483105.473371743,3006122.30350907,1487857800
18,483105.38524625,3006122.89036679,1487858100
18,483105.506350666,3006123.34759366,1487858400
18,483105.948557616,3006123.59582356,1487858700
18,483106.577328627,3006123.69958832,1487859000
18,483107.233751344,3006123.71910525,1487859300
18,483107.763774776,3006123.67669492,1487859600
18,483107.960627564,3006123.56512368,1487859900
18,483107.487531895,3006123.34490021,1487860200
18,483106.011763659,3006122.97208966,1487860500
18,483103.878941335,3006122.51270085,1487860800
18,483101.443565738,3006122.03655232,1487861100
18,483098.941593196,3006121.60079607,1487861400
18,483096.578638891,3006121.27128112,1487861700
18,483094.606840102,3006121.14716753,1487862000
18,483093.265238012,3006121.31839373,1487862300
18,483092.396373748,3006121.65473445,1487862600
18,483091.860200449,3006122.00168477,1487862900
18,483091.635611993,3006122.20230696,1487863200
18,483091.812556836,3006122.03857119,1487863500
18,483092.625658511,3006121.14986303,1487863800
18,483094.318420661,3006119.18852605,1487864100
18,483096.5475761,3006116.58194402,1487864400
18,483098.941437973,3006113.80027131,1487864700
18,483101.184454113,3006111.24184536,1487865000
18,483102.899253882,3006109.38208379,1487865300
18,483103.505590229,3006108.95119025,1487865600
18,483102.446190754,3006110.65668091,1487865900
18,483100.338755006,3006113.75672508,1487866200
18,483097.846544786,3006117.47397308,1487866500
18,483095.483562815,3006121.2554024,1487866800
18,483093.806679926,3006124.56560056,1487867100
18,483093.623784203,3006126.68662961,1487867400
18,483095.707580224,3006126.9337058,1487867700
18,483099.277270562,3006125.88642351,1487868000
18,483103.513840519,3006124.11820418,1487868300
18,483107.842091223,3006121.92659104,1487868600
18,483111.715631324,3006119.44446826,1487868900
18,483114.412635448,3006116.68973846,1487869200
18,483115.251253414,3006113.64554573,1487869500
18,483114.825569351,3006110.47987621,1487869800
18,483113.736822168,3006107.3824718,1487870100
18,483112.332909271,3006104.56224374,1487870400
18,483110.838423043,3006102.32537062,1487870700
18,483109.4386019,3006101.18975003,1487871000
18,483108.283382616,3006101.67720127,1487871300
18,483107.343153232,3006103.27528211,1487871600
18,483106.597985216,3006105.47897987,1487871900
18,483106.095379408,3006108.00332765,1487872200
18,483105.968023611,3006110.67688376,1487872500
18,483106.48338882,3006113.37764114,1487872800
18,483107.912986564,3006116.0138088,1487873100
18,483109.924985089,3006118.57059134,1487873400
18,483112.16903851,3006121.02354616,1487873700
18,483114.376044975,3006123.30303984,1487874000
18,483116.257555637,3006125.26821019,1487874300
18,483117.397952606,3006126.65430631,1487874600
18,483117.397786216,3006127.18948858,1487874900
18,483116.642182949,3006127.15614509,1487875200
