id,x,y,time_s
22,481942.873814158,3005548.2754779,1492560000
22,481939.213066171,3005550.99622984,1492560300
22,481934.492081076,3005554.48887844,1492560600
22,481929.471648952,3005558.20499639,1492560900
22,481924.402774675,3005561.97657732,1492561200
22,481919.453980516,3005565.73002712,1492561500
22,481914.998193112,3005569.36087958,1492561800
22,481911.582882305,3005572.72638496,1492562100
22,481908.668684385,3005575.96485984,1492562400
22,481905.904578854,3005579.16879006,1492562700
22,481903.19504227,3005582.37184679,1492563000
22,481900.537432456,3005585.60620713,1492563300
22,481898.017490683,3005588.95733104,1492563600
22,481895.7766817,3005592.55455525,1492563900
22,481893.663616596,3005596.28018098,1492564200
22,481891.565735621,3005600.08019788,1492564500
22,481889.396313505,3005604.02722868,1492564800
22,481886.946821346,3005608.44415948,1492565100
22,481883.53193406,3005614.45381012,1492565400
22,481878.100873965,3005623.78063334,1492565700
22,481871.665672815,3005634.72482676,1492566000
22,481864.806950438,3005646.23018408,1492566300
22,481857.384324848,3005658.19579577,1492566600
22,481848.297430969,3005671.30426355,1492566900
22,481833.612696103,3005688.18373822,1492567200
22,481807.292457595,3005712.88703476,1492567500
22,481775.418539651,3005741.30915872,1492567800
22,481742.043857758,3005770.68094916,1492568100
22,481708.666468283,3005799.84991043,1492568400
22,481676.779811503,3005827.31824041,1492568700
22,481650.415096363,3005848.69302051,1492569000
22,481635.629136372,3005857.32950741,1492569300
22,481626.480799222,3005859.8183209,1492569600
22,481619.251491091,3005860.40611637,1492569900
22,481613.489508403,3005860.10329805,1492570200
22,481611.241073052,3005858.40409747,1492570500
22,481620.533752797,3005852.42557004,1492570800
22,481653.769700169,3005837.61643191,1492571100
22,481698.443647129,3005818.54239353,1492571400
22,481746.249367838,3005798.12538649,1492571700
22,481794.212059359,3005777.00109789,1492572000
22,481839.624133637,3005754.60114405,1492572300
22,481875.435907217,3005728.185474,1492572600
22,481891.113613214,3005693.47037184,1492572900
22,481897.138383066,3005654.79988219,1492573200
22,481900.417657336,3005615.07708947,1492573500
22,481903.185021563,3005575.41366132,1492573800
22,481906.802587838,3005537.02231675,1492574100
22,481914.07980898,3005503.28132059,1492574400
22,481929.099698738,3005479.27458709,1492574700
22,481947.814680929,3005459.95214269,1492575000
22,481967.511066902,3005442.0274457,1492575300
22,481987.145859946,3005424.59343202,1492575600
22,482005.571191375,3005407.57836034,1492575900
22,482019.580226054,3005391.623683,1492576200
22,482024.348277102,3005377.81304519,1492576500
22,482024.688696046,3005365.01959941,1492576800
22,482023.777684783,3005352.4851464,1492577100
22,482022.661030925,3005339.89239128,1492577400
22,482022.034421897,3005326.82479198,1492577700
22,482023.42776013,3005312.0574525,1492578000
22,482029.081070643,3005293.74178277,1492578300
22,482036.754468748,3005273.74843919,1492578600
22,482044.918430879,3005253.36195079,1492578900
22,482052.878531628,3005233.19757829,1492579200
22,482059.593276602,3005214.24871448,1492579500
22,482061.901096608,3005199.57800416,1492579800
22,482055.010291687,3005193.83573596,1492580100
22,482043.71792568,3005192.38340533,1492580400
22,482031.200063185,3005192.19021342,1492580700
22,482018.546502252,3005192.36888973,1492581000
22,482006.616010978,3005192.6652323,1492581300
22,481997.498266391,3005193.02536284,1492581600
22,481994.293957777,3005193.461532,1492581900
22,481993.929376865,3005193.93282334,1492582200
22,481994.38775985,3005194.41564968,1492582500
22,481995.053309736,3005194.90607304,1492582800
22,481995.662883988,3005195.4131007,1492583100
22,481995.858029396,3005195.97401893,1492583400
22,481995.152455382,3005196.64567458,1492583700
22,481994.010397422,3005197.36303355,1492584000
22,481992.730707772,3005198.06668459,1492584300
22,481991.377919513,3005198.67389275,1492584600
22,481989.892105593,3005198.93775411,1492584900
22,481987.990087435,3005198.03597128,1492585200
22,481985.435785118,3005195.29241551,1492585500
22,481982.638270487,3005191.84539967,1492585800
22,481979.808566456,3005188.24471995,1492586100
22,481977.102878788,3005184.77859277,1492586400
22,481974.888515737,3005181.964305,1492586700
22,481974.369181538,3005181.42882611,1492587000
22,481977.381683333,3005185.64550898,1492587300
22,481982.09048653,3005192.13667318,1492587600
22,481987.295325664,3005199.26365442,1492587900
22,481992.640351397,3005206.47019469,1492588200
22,481998.00834417,3005213.33548673,1492588500
